Age,Gender,CGPA,IT_Specialization,Coding_Proficiency,Project_Exposure,Internship_Experience,Family_Pressure,Trend_Following,Anxiety,Uncertainty,University_Support,Communication,Leadership,Sleep_Hours,Social_Media_Hours,Favorite_Color,Netflix_Hours,Confusion_Level
25,Female,2.93,AI/ML,2,9,Yes,2,2,2,1,3,5.0,1,8.7,4.4,Black,4.3,Low
20,Prefer not to say,3.62,AI/ML,4,10,Yes,2,4,2,5,3,1.0,4,5.6,1.3,White,0.0,High
21,Prefer not to say,,Data Science,4,8,Yes,5,4,1,3,2,,5,8.6,2.2,White,4.0,Medium
23,Female,3.05,Data Science,4,1,No,1,2,3,5,1,5.0,4,5.0,6.5,Red,3.8,High
23,Male,3.69,Software Engineering,2,5,No,1,2,5,2,5,1.0,2,5.5,7.9,Black,0.9,Medium
20,Prefer not to say,3.59,Software Engineering,2,4,Yes,3,2,1,5,3,3.0,2,5.9,3.4,Black,2.3,Medium
20,Prefer not to say,2.53,Cyber Security,1,5,No,4,2,3,2,3,2.0,2,5.9,4.1,Red,5.3,High
22,Female,2.33,AI/ML,3,10,No,4,5,2,3,4,2.0,3,5.9,5.7,White,4.0,High
25,Prefer not to say,,Data Science,3,0,No,3,2,2,3,4,4.0,3,7.3,1.0,White,3.2,Medium
24,Prefer not to say,3.41,AI/ML,2,8,No,2,3,4,4,5,,3,5.0,1.1,Red,4.8,Low
22,Female,2.3,Cyber Security,3,5,No,2,1,4,4,2,2.0,2,8.5,7.1,Black,2.5,Medium
20,Prefer not to say,2.65,Data Science,3,7,No,2,4,5,4,2,,5,4.1,3.3,Black,0.4,High
21,Prefer not to say,3.43,Software Engineering,3,10,Yes,5,3,4,3,2,4.0,1,4.2,4.6,White,4.5,High
25,Female,3.45,Software Engineering,4,3,Yes,1,4,2,3,3,5.0,2,7.9,2.2,Green,3.9,Medium
21,Female,3.42,Data Science,2,2,Yes,5,1,1,5,4,5.0,5,7.8,5.3,Green,4.6,Medium
23,Prefer not to say,2.99,Software Engineering,3,2,Yes,2,4,5,1,2,2.0,5,6.2,6.6,Red,5.3,Low
20,Female,2.5,Data Science,4,5,No,3,5,1,5,4,2.0,1,8.4,6.7,Green,1.7,High
24,Male,2.27,AI/ML,2,9,No,3,3,1,4,3,2.0,1,7.8,7.6,Black,2.5,Medium
23,Male,2.51,AI/ML,4,0,Yes,2,3,2,5,1,1.0,2,4.7,7.7,Green,0.4,Medium
24,Male,3.58,Cyber Security,2,0,Yes,5,4,4,1,2,4.0,2,6.4,5.3,Green,3.0,High
26,Prefer not to say,2.58,Cyber Security,1,6,Yes,2,2,4,2,2,2.0,5,7.4,4.5,White,0.5,Medium
23,Male,3.47,Software Engineering,4,8,Yes,2,3,3,5,3,1.0,1,6.2,3.2,Red,4.0,Medium
23,Male,3.41,Cyber Security,1,9,No,2,3,1,2,3,5.0,3,5.0,1.4,Red,2.1,Low
20,Male,3.75,Data Science,1,5,No,4,2,5,2,1,2.0,2,5.7,2.8,Red,3.9,High
25,Female,2.35,Software Engineering,3,7,No,5,4,5,3,3,3.0,5,5.2,7.5,Blue,1.6,High
25,Female,2.75,Software Engineering,5,3,Yes,4,4,5,1,5,4.0,1,7.7,3.0,Black,2.6,Medium
22,Female,3.99,Web Development,5,11,Yes,3,4,2,1,5,3.0,5,4.4,1.1,White,0.5,Low
25,Prefer not to say,2.96,Software Engineering,5,9,Yes,1,1,3,2,2,1.0,4,8.2,7.2,Blue,5.0,Low
22,Prefer not to say,4.0,Cyber Security,4,1,No,2,4,4,1,1,3.0,2,7.8,6.1,Red,4.5,Medium
24,Female,2.9,Data Science,3,9,No,2,5,3,4,3,4.0,3,4.7,3.3,Blue,4.8,High
24,Male,3.13,Software Engineering,2,8,No,2,5,1,3,4,4.0,1,6.1,1.7,Red,1.2,Medium
24,Male,2.74,Cyber Security,1,2,No,3,2,5,2,1,1.0,2,5.5,3.3,Red,2.7,High
26,Prefer not to say,3.31,AI/ML,2,5,Yes,1,3,5,2,2,5.0,4,7.6,7.7,White,2.1,High
23,Male,3.64,Software Engineering,3,0,Yes,5,5,3,2,2,5.0,3,8.8,4.9,Green,1.0,High
21,Prefer not to say,3.44,Software Engineering,5,4,Yes,3,4,2,2,1,4.0,4,6.1,4.8,Black,2.2,Medium
22,Female,2.67,Cyber Security,2,12,No,2,1,3,1,1,5.0,2,7.0,5.2,Green,6.0,Medium
21,Female,2.44,AI/ML,2,4,Yes,5,5,5,3,2,,2,5.3,4.0,Black,0.6,High
21,Female,3.09,Software Engineering,4,10,Yes,4,3,2,5,1,,5,8.8,7.8,Green,4.7,Medium
25,Prefer not to say,2.23,Software Engineering,2,11,Yes,4,2,5,4,4,2.0,1,7.0,2.1,Black,1.1,Medium
24,Female,,Cyber Security,4,4,Yes,1,3,1,1,2,4.0,2,5.4,3.4,Blue,4.1,Low
26,Male,3.68,Web Development,5,3,No,3,2,5,3,4,,3,8.8,3.1,Red,3.3,High
22,Female,2.65,Cyber Security,2,10,Yes,2,5,2,3,3,4.0,2,8.4,3.6,Blue,0.0,Medium
20,Prefer not to say,3.52,Web Development,4,10,No,2,3,5,2,5,5.0,5,4.8,7.7,Blue,3.0,High
25,Male,2.79,Web Development,4,8,No,3,2,1,1,2,2.0,2,7.6,7.7,Blue,2.0,Low
21,Prefer not to say,2.36,AI/ML,4,6,Yes,3,4,3,5,1,4.0,5,8.4,4.0,Green,4.4,Medium
25,Prefer not to say,3.07,Web Development,3,11,Yes,4,4,4,2,4,5.0,5,5.5,4.1,Black,4.7,Medium
22,Male,3.82,Data Science,4,3,Yes,3,4,1,4,4,,1,8.7,4.8,White,5.6,Low
26,Male,,Software Engineering,2,2,Yes,3,1,3,1,1,2.0,2,8.7,8.0,Blue,3.1,Low
21,Prefer not to say,3.06,Software Engineering,3,5,No,2,3,1,4,1,2.0,4,8.6,3.0,Green,2.0,High
24,Male,3.38,Cyber Security,4,10,No,1,4,1,3,5,,1,8.8,6.0,Green,4.1,Low
24,Male,2.87,Cyber Security,3,9,No,3,3,3,4,2,5.0,1,4.4,4.4,Red,4.1,High
21,Prefer not to say,2.78,Software Engineering,2,3,Yes,2,5,3,5,4,3.0,3,5.0,2.9,Blue,1.0,High
21,Female,3.41,Cyber Security,1,2,Yes,3,3,4,2,1,5.0,3,5.2,7.5,Red,1.5,High
22,Male,3.28,AI/ML,5,2,Yes,5,2,3,4,4,2.0,2,8.6,6.7,Black,1.7,Medium
26,Prefer not to say,3.0,Data Science,2,12,No,5,1,2,3,4,1.0,5,7.5,1.3,Red,5.9,Medium
20,Male,2.23,Cyber Security,1,2,Yes,2,1,1,1,1,3.0,3,4.9,3.7,Red,2.6,Low
25,Male,2.78,Software Engineering,1,5,Yes,3,3,5,1,2,5.0,5,5.6,5.6,White,2.8,High
21,Prefer not to say,3.54,Web Development,1,0,Yes,4,1,2,2,2,1.0,5,8.5,7.0,Red,4.7,High
22,Prefer not to say,3.87,Web Development,1,10,No,5,4,5,3,5,2.0,5,7.9,7.8,White,2.1,High
21,Prefer not to say,2.64,Data Science,5,9,Yes,2,1,1,2,5,5.0,5,6.1,5.6,Red,1.7,Low
25,Female,3.83,Cyber Security,1,1,Yes,5,3,3,2,2,5.0,4,8.8,3.4,Blue,1.3,Medium
23,Male,3.11,Data Science,1,11,No,5,2,4,3,3,5.0,3,7.8,4.7,Green,0.1,High
26,Prefer not to say,2.88,AI/ML,2,9,No,5,1,2,4,5,2.0,5,5.9,2.1,Red,4.8,Medium
20,Female,,AI/ML,3,10,No,5,5,4,1,5,5.0,5,5.8,3.4,Red,4.1,High
26,Male,3.62,Cyber Security,2,11,No,5,2,2,5,4,2.0,4,8.1,4.2,Green,5.5,High
24,Female,3.26,Cyber Security,1,6,Yes,5,4,5,2,2,1.0,1,8.5,6.8,Black,0.9,High
23,Prefer not to say,2.32,AI/ML,2,8,No,4,2,5,3,5,3.0,2,6.2,6.2,Blue,2.4,Medium
23,Prefer not to say,3.45,Web Development,3,1,Yes,2,4,5,5,1,5.0,1,7.4,7.6,Black,3.5,High
25,Prefer not to say,2.54,Cyber Security,1,3,No,2,2,2,3,4,1.0,5,7.8,5.4,Red,4.5,Medium
20,Male,,Web Development,2,0,No,5,3,2,3,3,3.0,4,5.8,6.5,Blue,5.6,Medium
23,Male,3.94,Data Science,5,0,No,5,3,4,1,1,3.0,4,5.6,2.4,Green,3.4,Medium
25,Female,2.91,Cyber Security,2,9,Yes,4,5,2,2,2,1.0,4,6.5,4.2,White,5.4,Medium
